Date,DXY,SP500,US10Y,VIX
2021-04-30,91.27999877929688,4181.169921875,1.63100004196167,18.610000610351562
2021-05-03,90.94999694824219,4192.66015625,1.6069999933242798,18.309999465942383
2021-05-04,91.29000091552734,4164.66015625,1.5920000076293945,19.479999542236328
2021-05-05,91.30999755859375,4167.58984375,1.5839999914169312,19.149999618530273
2021-05-06,90.94999694824219,4201.6201171875,1.5609999895095825,18.389999389648438
2021-05-07,90.2300033569336,4232.60009765625,1.5770000219345093,16.690000534057617
2021-05-10,90.20999908447266,4188.43017578125,1.6019999980926514,19.65999984741211
2021-05-11,90.13999938964844,4152.10009765625,1.6239999532699585,21.84000015258789
2021-05-12,90.70999908447266,4063.0400390625,1.6950000524520874,27.59000015258789
2021-05-13,90.75,4112.5,1.6679999828338623,23.1299991607666
2021-05-14,90.31999969482422,4173.85009765625,1.6349999904632568,18.809999465942383
2021-05-17,90.22000122070312,4163.2900390625,1.6399999856948853,19.719999313354492
2021-05-18,89.75,4127.830078125,1.6419999599456787,21.34000015258789
2021-05-19,90.19000244140625,4115.68017578125,1.6829999685287476,22.18000030517578
2021-05-20,89.80999755859375,4159.1201171875,1.6339999437332153,20.670000076293945
2021-05-21,90.0199966430664,4155.85986328125,1.6319999694824219,20.149999618530273
2021-05-24,89.83000183105469,4197.0498046875,1.6080000400543213,18.399999618530273
2021-05-25,89.63999938964844,4188.1298828125,1.5640000104904175,18.84000015258789
2021-05-26,90.04000091552734,4195.990234375,1.5740000009536743,17.360000610351562
2021-05-27,89.97000122070312,4200.8798828125,1.6100000143051147,16.739999771118164
2021-05-28,90.02999877929688,4204.10986328125,1.5809999704360962,16.760000228881836
2021-06-01,89.83000183105469,4202.0400390625,1.6150000095367432,17.899999618530273
2021-06-02,89.9000015258789,4208.1201171875,1.590999960899353,17.479999542236328
2021-06-03,90.5,4192.85009765625,1.625,18.040000915527344
2021-06-04,90.13999938964844,4229.89013671875,1.559999942779541,16.420000076293945
2021-06-07,89.94999694824219,4226.52001953125,1.569000005722046,16.420000076293945
2021-06-08,90.08000183105469,4227.259765625,1.527999997138977,17.06999969482422
2021-06-09,90.12000274658203,4219.5498046875,1.4889999628067017,17.889999389648438
2021-06-10,90.08000183105469,4239.18017578125,1.4589999914169312,16.100000381469727
2021-06-11,90.55999755859375,4247.43994140625,1.4620000123977661,15.649999618530273
2021-06-14,90.5199966430664,4255.14990234375,1.5010000467300415,16.389999389648438
2021-06-15,90.54000091552734,4246.58984375,1.4989999532699585,17.020000457763672
2021-06-16,91.12999725341797,4223.7001953125,1.569000005722046,18.149999618530273
2021-06-17,91.88999938964844,4221.85986328125,1.5110000371932983,17.75
